staff_role,count,classified_role
1Non-Privileged Provider,115070,UNMAPPED
1Undefined Provider (no system access),76031,UNMAPPED
,44374,UNMAPPED
Physician Office Staff,37491,NON_CLINICAL
RN,21152,RN
Physician Office Staff Clinical,14486,NON_CLINICAL
Resident II Registered Nurse,13736,RN
Patient Care Tech,12204,TECH
Anesthesiology,10436,PROVIDER
RN PRN,10326,RN
Emergency Medicine,9727,PROVIDER
Volunteer,8696,NON_CLINICAL
Clin Nurse Coord,7907,RN
Internal Medicine,7737,PROVIDER
Nurse Extern PRN,7507,RN
APP - Nurse Practitioner (NP),6920,PROVIDER
Medical Student,6484,NON_CLINICAL
Patient Care Tech PRN,6126,TECH
Radiology,5786,PROVIDER
Obstetrics & Gynecology,5634,PROVIDER
Medical Asst,5219,MA
DHP-Security Guard,5110,SECURITY
Medical Office Specialist,4999,NON_CLINICAL
RN II,4983,RN
Hospitalist,4884,PROVIDER
Orthopaedic Surgery,4781,PROVIDER
APP - Physician Assistant (PA),4644,PROVIDER
Pediatrics,4587,PROVIDER
Family Medicine,4420,PROVIDER
Vendor,4251,NON_CLINICAL
Student Nurse (LVL2) Southern California,3981,RN
RN Progressive Care,3780,RN
APP - Certified Registered Nurse Anesthetist (CRNA),3762,PROVIDER
Physician,3649,PROVIDER
Plus Care Network Providers (non-physician),3609,PROVIDER
Patient Safety Attendant,3454,TECH
RN Telemetry,3315,RN
Student Nurse (LVL2) Las Vegas,3305,RN
RN Critical Care,3100,RN
General Surgery,2934,PROVIDER
RN III,2771,RN
Student Nurse (LVL2) Nashville,2711,RN
Contractor,2709,NON_CLINICAL
EVS Technician,2657,EVS
Cardiology,2643,PROVIDER
TNA Physician Office Staff,2600,NON_CLINICAL
Coder-On_Off Site,2505,NON_CLINICAL
Other,2496,UNMAPPED
Student - Nurse,2480,RN
Student Nurse (LVL2) West Florida,2464,RN
Student,2413,NON_CLINICAL
OPO Staff,2377,NON_CLINICAL
EVS Asst,2281,EVS
Gastroenterology,2258,PROVIDER
Neurology,2219,PROVIDER
Nephrology,2128,PROVIDER
Student Nurse (LVL2) Galen - San Antonio,2120,RN
Physical Therapist,2082,ALLIED_HEALTH
Registrar,2064,NON_CLINICAL
RN Medical Surgical,2044,RN
RN Intensive Care Unit,1991,RN
GHR Email,1991,NON_CLINICAL
Ophthalmology,1953,PROVIDER
Podiatry,1945,PROVIDER
RN Med/Surg,1937,RN
Student Nurse (LVL2) Denver,1895,RN
Lead Patient Care Tech,1881,TECH
Urology,1857,PROVIDER
RN ED,1844,RN
RN Emergency Room,1788,RN
Nurse Practitioner,1768,PROVIDER
Monitor Tech,1760,TECH
Resident I Graduate Nurse,1759,RN
Student Nurse (LVL2) Florida Panhandle,1743,RN
